北京市,Beijing,24651,,136
天津市,Tianjin,31985,9884,7
河北省,Hebei,,,
  石家庄市,  Shijiazhuang,34490,,3
  唐山市,  Tangshan,43043,1091,
  秦皇岛市,  Qinhuangdao,5225,1249,
  邯郸市,  Handan,34565,,
  邢台市,  Xingtai,14320,,
  保定市,  Baoding,26069,,
  张家口市,  Zhangjiakou,6602,,
  承德市,  Chengde,8367,,
  沧州市,  Cangzhou,33672,1263,
  廊坊市,  Langfang,12067,,
  衡水市,  Hengshui,5900,,
山西省,Shanxi,,,
  太原市,  Taiyuan,11099,,4
  大同市,  Datong,8295,,
  阳泉市,  Yangquan,4337,,
  长治市,  Changzhi,7391,,
  晋城市,  Jincheng,4862,,
  朔州市,  Shuozhou,2109,,
  晋中市,  Jinzhong,9152,,
  运城市,  Yuncheng,7448,,
  忻州市,  Xinzhou,6905,,
  临汾市,  Linfen,11944,,
  吕梁市,  Lvliang,6302,2,
内蒙古自治区,Inner Mongolia,,,
  呼和浩特市,  Hohhot,14978,,3
  包头市,  Baotou,22949,,
  乌海市,  Wuhai,10088,,
  赤峰市,  Chifeng,9798,,
  通辽市,  Tongliao,5815,,
  鄂尔多斯市,  Erdos,40206,,
  呼伦贝尔市,  Hulunbuir,8512,,
  巴彦淖尔市,  Bayannur,3192,,
  乌兰察布市,  Ulanqab,6904,,
辽宁省,Liaoning,,,
  沈阳市,  Shenyang,20957,,4
  大连市,  Dalian,26276,11883,5
  鞍山市,  Anshan,18651,,
  抚顺市,  Fushun,8584,,
  本溪市,  Benxi,7466,,
  丹东市,  Dandong,6652,532,
  锦州市,  Jinzhou,15904,156,
  营口市,  Yingkou,15278,744,
  阜新市,  Fuxin,4451,,
  辽阳市,  Liaoyang,13136,,
  盘锦市,  Panjin,12551,13,
  铁岭市,  Tieling,7152,,
  朝阳市,  Chaoyang,4794,,
  葫芦岛市,  Huludao,11071,51,
吉林省,Jilin,,,
  长春市,  Changchun,8827,147,5
  吉林市,  Jilin,6646,,
  四平市,  Siping,5667,,
  辽源市,  Liaoyuan,1488,,
  通化市,  Tonghua,2766,,
  白山市,  Baishan,2114,,
  松原市,  Songyuan,7004,79,
  白城市,  Baicheng,1006,81,
黑龙江省,Heilongjiang,,,
  哈尔滨市,  Harbin,9007,574,3
  齐齐哈尔市,  Qiqihar,9818,,
  鸡西市,  Jixi,3378,,
  鹤岗市,  Hegang,2000,116,
  双鸭山市,  Shuangyashan,2186,,
  大庆市,  Daqing,4088,136,
  伊春市,  Yichun,1362,,
  佳木斯市,  Jiamusi,271483,295,
  七台河市,  Qitaihe,1474,,
  牡丹江市,  Mudanjiang,,,
  黑河市,  Heihe,1085,15,
  绥化市,  Suihua,3845,,
上海市,Shanghai,43809,46697,152
江苏省,Jiangsu,,,
  南京市,  Nanjing,10912,16459,26
  无锡市,  Wuxi,11579,2253,5
  徐州市,  Xuzhou,15455,4796,1
  常州市,  Changzhou,9620,1921,1
  苏州市,  Suzhou,10799,992,
  南通市,  Nantong,10137,6871,2
  连云港市,  Lianyungang,7554,1610,
  淮安市,  Huai'an,5076,5218,
  盐城市,  Yancheng,4639,8826,
  扬州市,  Yangzhou,5924,4604,
  镇江市,  Zhenjiang,6290,1252,
  泰州市,  Taizhou,2265,14106,
  宿迁市,  Suqian,3458,2000,
浙江省,Zhejiang,,,
  杭州市,  Hangzhou,23884,6544,22
  宁波市,  Ningbo,17790,15441,9
  温州市,  Wenzhou,7989,2787,4
  嘉兴市,  Jiaxing,8843,8383,
  湖州市,  Huzhou,7192,9436,
  绍兴市,  Shaoxing,8560,1311,
  金华市,  Jinhua,12108,124,1
  衢州市,  Quzhou,8209,4,
  舟山市,  Zhoushan,4958,16434,
  台州市,  Taizhou,11828,10424,
  丽水市,  Lishui,4498,126,
安徽省,Anhui,,,
  合肥市,  Hefei,36703,2276,2
  芜湖市,  Wuhu,16382,8937,
  蚌埠市,  Bengbu,19405,6795,
  淮南市,  Huainan,8204,1873,
  马鞍山市,  Maanshan,16447,2993,
  淮北市,  Huaibei,7725,,
  铜陵市,  Tongling,11869,647,
  安庆市,  Anqing,28229,1516,
  黄山市,  Huangshan,7996,10,
  滁州市,  Chuzhou,15893,924,
  阜阳市,  Fuyang,33170,5254,
  宿州市,  Suzhou,25179,525,
  六安市,  Lu'an,33690,6086,
  亳州市,  Bozhou,17699,1261,
  池州市,  Chizhou,8272,778,
  宣城市,  Xuancheng,12900,4781,
福建省,Fujian,,,
  福州市,  Fuzhou,12234,7295,11
  厦门市,  Xiamen,9393,5217,30
  莆田市,  Putian,3208,559,
  三明市,  Sanming,9075,3,
  泉州市,  Quanzhou,9944,6727,4
  漳州市,  Zhangzhou,5142,1457,
  南平市,  Nanping,2816,127,
  龙岩市,  Longyan,7759,,
  宁德市,  Ningde,3054,783,
江西省,Jiangxi,,,
  南昌市,  Nanchang,9545,748,2
  景德镇市,  Jingdezhen,2277,189,
  萍乡市,  Pingxiang,4584,,
  九江市,  Jiujiang,10952,998,
  新余市,  Xinyu,12731,83,
  鹰潭市,  Yingtan,6794,447,
  赣州市,  Ganzhou,18629,1466,
  吉安市,  Ji'an,8478,1620,
  宜春市,  Yichun,15498,2273,
  抚州市,  Fuzhou,13229,140,
  上饶市,  Shangrao,18624,681,
山东省,Shandong,,,
  济南市,  Jinan,17570,189,4
  青岛市,  Qingdao,23720,1313,19
  淄博市,  Zibo,26436,,
  枣庄市,  Zaozhuang,22894,1009,
  东营市,  Dongying,7029,177,
  烟台市,  Yantai,17653,3493,3
  潍坊市,  Weifang,24601,1367,2
  济宁市,  Jining,24000,3270,
  泰安市,  Tai'an,11964,104,
  威海市,  Weihai,4829,1502,1
  日照市,  Rizhao,12966,793,
  莱芜市,  Laiwu,6519,,
  临沂市,  Linyi,35188,,
  德州市,  Dezhou,18773,,
  聊城市,  Liaocheng,15711,,
  滨州市,  Binzhou,14160,118,
  菏泽市,  Heze,12945,210,
河南省,Henan,,,
  郑州市,  Zhengzhou,26202,,4
  开封市,  Kaifeng,9469,,
  洛阳市,  Luoyang,21222,30,
  平顶山市,  Pingdingshan,18612,,
  安阳市,  Anyang,25360,,
  鹤壁市,  Hebi,7520,,
  新乡市,  Xinxiang,12177,,
  焦作市,  Jiaozuo,21492,,
  濮阳市,  Puyang,5017,241,
  许昌市,  Xuchang,24320,,
  漯河市,  Luohe,5509,243,
  三门峡市,  Sanmenxia,5100,,
  南阳市,  Nanyang,22744,728,
  商丘市,  Shangqiu,27199,134,
  信阳市,  Xinyang,8994,2595,
  周口市,  Zhoukou,14216,2212,
  驻马店市,  Zhumadian,23016,2418,
湖北省,Hubei,,,
  武汉市,  Wuhan,25023,10486,10
  黄石市,  Huangshi,7407,1311,
  十堰市,  Shiyan,5883,187,
  宜昌市,  Yichang,13683,2341,1
  襄阳市,  Xiangyang,14566,922,
  鄂州市,  Ezhou,1975,450,
  荆门市,  Jingmen,12066,59,
  孝感市,  Xiaogan,3315,290,
  荆州市,  Jingzhou,5239,2502,
  黄冈市,  Huanggang,3597,2134,
  咸宁市,  Xianning,3556,106,
  随州市,  Suizhou,3127,23,
湖南省,Hunan,,,
  长沙市,  Changsha,24627,3080,6
  株洲市,  Zhuzhou,18485,971,
  湘潭市,  Xiangtan,7638,1690,
  衡阳市,  Hengyang,21884,1180,
  邵阳市,  Shaoyang,20081,548,
  岳阳市,  Yueyang,13224,6546,
  常德市,  Changde,9092,2826,
  张家界市,  Zhangjiajie,2014,156,
  益阳市,  Yiyang,9273,1943,
  郴州市,  Chenzhou,26118,317,
  永州市,  Yongzhou,9915,737,
  怀化市,  Huaihua,4950,171,
  娄底市,  Loudi,13744,288,
广东省,Guangdong,,,
  广州市,  Guangzhou,59142,22908,102
  韶关市,  Shaoguan,8498,3686,
  深圳市,  Shenzhen,22242,6984,
  珠海市,  Zhuhai,7049,1408,
  汕头市,  Shantou,3618,1010,2
  佛山市,  Foshan,23358,3848,
  江门市,  Jiangmen,6487,3512,
  湛江市,  Zhanjiang,7799,2791,
  茂名市,  Maoming,6661,462,
  肇庆市,  Zhaoqing,3345,1126,
  惠州市,  Huizhou,9534,9529,
  梅州市,  Meizhou,6260,65,1
  汕尾市,  Shanwei,1934,,
  河源市,  Heyuan,3984,11,
  阳江市,  Yangjiang,6891,781,
  清远市,  Qingyuan,8452,1911,
  东莞市,  Dongguan,9162,3701,
  中山市,  Zhongshan,13848,2871,
  潮州市,  Chaozhou,3162,782,
  揭阳市,  Jieyang,2754,30,3
  云浮市,  Yunfu,3449,961,
广西壮族自治区,Guangxi,,,
  南宁市,  Nanning,27872,2500,5
  柳州市,  Liuzhou,12346,713,
  桂林市,  Guilin,8351,29,2
  梧州市,Wuzhou,3710,1864,
  北海市,Beihai,5423,836,
  防城港市,Fangchenggang,3617,1284,
  钦州市,Qinzhou,24185,2164,
  贵港市,Guigang,2636,8978,
  玉林市,Yulin,19636,192,
  百色市,Baise,8434,282,
  贺州市,Hezhou,3989,57,
  河池市,Hechi,6012,32,
  来宾市,Laibin,1684,622,
  崇左市,Chongzuo,3957,22,
海南省,Hainan,,,
  海口市,  Haikou,4122,7057,25
  三亚市,  Sanya,3675,15,2
  三沙市,  Sansa,,,
重庆市,Chongqing,80695,14360,12
四川省,Sichuan,,,
  成都市,  Chengdu,42537,,27
  自贡市,  Zigong,5075,242,
  攀枝花市,  Panzhihua,12513,17,
  泸州市,  Luzhou,6390,1682,
  德阳市,  Deyang,8940,,
  绵阳市,  Mianyang,6663,,1
  广元市,  Guangyuan,5461,990,
  遂宁市,  Suining,3226,228,
  内江市,  Neijiang,6444,283,
  乐山市,  Leshan,10645,293,
  南充市,  Nanchong,5909,977,
  眉山市,  Meishan,5186,1200,
  宜宾市,  Yibin,5939,526,
  广安市,  Guang'an,5002,454,
  达州市,  Dazhou,16266,540,2
  雅安市,  Ya'an,4947,,
  巴中市,  Bazhong,3117,296,
  资阳市,  Ziyang,6704,531,
贵州省,Guizhou,,,
  贵阳市,  Guiyang,19750,4,8
  六盘水市,  Liupanshui,70438,,
  遵义市,  Zunyi,12954,644,
  安顺市,  Anshun,3297,2,
  毕节市,  Bijie,5767,3,
  铜仁市,  Tongren,3170,138,
云南省,Yunnan,,,
  昆明市,  Kunming,16176,37,29
  曲靖市,  Qujing,12189,,
  玉溪市,  Yuxi,6892,,
  保山市,  Baoshan,2255,,
  昭通市,  Zhaotong,3511,215,
  丽江市,  Lijiang,1307,,
  普洱市,  Pu'er,3511,9,
  临沧市,  Lincang,1812,,
西藏自治区,Tibet,,,
  拉萨市,  Lasa,618,,
陕西省,Shaanxi,,,
  西安市,  Xi'an,49243,,18
  铜川市,  Tongchuan,4016,,
  宝鸡市,  Baoji,9946,,
  咸阳市,  Xianyang,8052,,
  渭南市,  Weinan,13801,70,
  延安市,  Yan'an,6382,,
  汉中市,  Hanzhong,6312,,
  榆林市,  Yulin,10740,,
  安康市,  Ankang,7329,173,
  商洛市,  Shangluo,823,,
甘肃省,Gansu,,,
  兰州市,  Lanzhou,9531,22,4
  嘉峪关市,  Jiayuguan,5108,,
  金昌市,  Jinchang,2362,,
  白银市,  Baiyin,11903,,
  天水市,  Tianshui,3106,,
  武威市,  Wuwei,2757,,
  张掖市,  Zhangye,3083,,
  平凉市,  Pingliang,3371,,
  酒泉市,  Jiuquan,2896,,
  庆阳市,  Qingyang,4601,,
  定西市,  Dingxi,4076,,
  陇南市,  Longnan,2443,,
青海省,Qinghai,,,
  西宁市,  Xining,2781,,1
  海东市,  Haidong,3299,,
宁夏回族自治区,Ningxia,,,
  银川市,  Yinchuan,14787,,1
  石嘴山市,  Shizuishan,7259,,
  吴忠市,  Wuzhong,7906,,
  固原市,  Guyuan,4069,,
  中卫市,  Zhongwei,2144,44,
新疆维吾尔自治区,Xinjiang,,,
  乌鲁木齐市,  Urumqi,17853,,7
  克拉玛依市,  Karamay,3147,,
